tipo,puro_us,com_pre_us
Aleatório,334.509,351.304
Tartarugas,3240.293,801.361
Zigue-zague,683.598,316.252
Quase ordenado,242.486,265.870
Duplicados,9815.640,9929.865
Invertido,144.616,73.866
