tipo,puro_us,com_pre_us
Aleatório,5065.807,2881.550
Tartarugas,6131.064,3643.553
Zigue-zague,5062.856,11.979
Quase ordenado,219.586,152.589
Duplicados,3354.857,1408.904
Invertido,9943.204,11.151
