tipo,puro_us,com_pre_us
Aleatório,29011.571,24958.260
Tartarugas,19917.665,15009.860
Zigue-zague,19829.761,17.477
Quase ordenado,20518.065,17571.950
Duplicados,25626.621,21119.024
Invertido,19816.648,9.175
