tipo,puro_us,com_pre_us
Aleatório,416.902,428.997
Tartarugas,116.109,132.342
Zigue-zague,128.078,109.526
Quase ordenado,128.722,134.027
Duplicados,191.410,193.681
Invertido,121.783,108.173
